"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"4387","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A shrimp's heart is located in its abdomen.</p>
          </div>
        ","null","html-audio-response","148","428571","0.0-45.1-1.1","ha77v84840","","","","","1","","51F","A shrimp's heart is located in its abdomen.","false","sentence_recording","blob:https://charburnham.github.io/1124f273-8e8c-44f5-b309-316528574b0f","2","ha77v84840_51F_audio.webm","",""
"750","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A shrimp's heart is located in its abdomen.</p>
              <audio controls src=""blob:https://charburnham.github.io/1124f273-8e8c-44f5-b309-316528574b0f"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","149","429322","0.0-45.1-2.1","ha77v84840","","","","","","queued","51F","A shrimp's heart is located in its abdomen.","false","sentence_review","","2","ha77v84840_51F_audio.webm","accepted","ha77v84840_51F_audio.webm"
"1494","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Almonds are part of the apple family.</p>
          </div>
        ","0","html-button-response","150","430817","0.0-46.0-0.0","ha77v84840","","","","","","","9F","Almonds are part of the apple family.","false","sentence_ready","","","","",""
"3809","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Almonds are part of the apple family.</p>
          </div>
        ","null","html-audio-response","151","434683","0.0-46.0-1.0","ha77v84840","","","","","1","","9F","Almonds are part of the apple family.","false","sentence_recording","blob:https://charburnham.github.io/4fc24533-58dc-4199-9e19-e24305dfe5ae","1","ha77v84840_9F_audio.webm","",""
"773","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Almonds are part of the apple family.</p>
              <audio controls src=""blob:https://charburnham.github.io/4fc24533-58dc-4199-9e19-e24305dfe5ae"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","152","435457","0.0-46.0-2.0","ha77v84840","","","","","","queued","9F","Almonds are part of the apple family.","false","sentence_review","","1","ha77v84840_9F_audio.webm","accepted","ha77v84840_9F_audio.webm"
"2246","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Chameleons' tongues can stretch to four times their body length.</p>
          </div>
        ","0","html-button-response","153","437705","0.0-47.0-0.0","ha77v84840","","","","","","","42F","Chameleons' tongues can stretch to four times their body length.","false","sentence_ready","","","","",""
"5296","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Chameleons' tongues can stretch to four times their body length.</p>
          </div>
        ","null","html-audio-response","154","443059","0.0-47.0-1.0","ha77v84840","","","","","1","","42F","Chameleons' tongues can stretch to four times their body length.","false","sentence_recording","blob:https://charburnham.github.io/b6ec96ed-2be1-45e7-a676-69419b019ef1","1","ha77v84840_42F_audio.webm","",""
"901","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Chameleons' tongues can stretch to four times their body length.</p>
              <audio controls src=""blob:https://charburnham.github.io/b6ec96ed-2be1-45e7-a676-69419b019ef1"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","155","443961","0.0-47.0-2.0","ha77v84840","","","","","","queued","42F","Chameleons' tongues can stretch to four times their body length.","false","sentence_review","","1","ha77v84840_42F_audio.webm","accepted","ha77v84840_42F_audio.webm"
"2326","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Chameleons' tongues can stretch to two times their body length.</p>
          </div>
        ","0","html-button-response","156","446289","0.0-48.0-0.0","ha77v84840","","","","","","","42T","Chameleons' tongues can stretch to two times their body length.","true","sentence_ready","","","","",""
"3498","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Chameleons' tongues can stretch to two times their body length.</p>
          </div>
        ","null","html-audio-response","157","449850","0.0-48.0-1.0","ha77v84840","","","","","1","","42T","Chameleons' tongues can stretch to two times their body length.","true","sentence_recording","blob:https://charburnham.github.io/1db64ba1-5209-45c7-a549-fcd4ad809909","1","ha77v84840_42T_audio.webm","",""
"638","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Chameleons' tongues can stretch to two times their body length.</p>
              <audio controls src=""blob:https://charburnham.github.io/1db64ba1-5209-45c7-a549-fcd4ad809909"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","158","450489","0.0-48.0-2.0","ha77v84840","","","","","","not_uploaded_rerecorded","42T","Chameleons' tongues can stretch to two times their body length.","true","sentence_review","","1","ha77v84840_42T_audio.webm","rerecord","null"
"10399","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Chameleons' tongues can stretch to two times their body length.</p>
          </div>
        ","0","html-button-response","159","460889","0.0-48.1-0.1","ha77v84840","","","","","","","42T","Chameleons' tongues can stretch to two times their body length.","true","sentence_ready","","","","",""
"5603","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Chameleons' tongues can stretch to two times their body length.</p>
          </div>
        ","null","html-audio-response","160","466555","0.0-48.1-1.1","ha77v84840","","","","","1","","42T","Chameleons' tongues can stretch to two times their body length.","true","sentence_recording","blob:https://charburnham.github.io/32a1e1fc-ad5b-450e-bbd8-fac51af8adff","2","ha77v84840_42T_audio.webm","",""
"4189","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Chameleons' tongues can stretch to two times their body length.</p>
              <audio controls src=""blob:https://charburnham.github.io/32a1e1fc-ad5b-450e-bbd8-fac51af8adff"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","161","470745","0.0-48.1-2.1","ha77v84840","","","","","","queued","42T","Chameleons' tongues can stretch to two times their body length.","true","sentence_review","","2","ha77v84840_42T_audio.webm","accepted","ha77v84840_42T_audio.webm"
"1574","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">A male kangaroo is called a boomer.</p>
          </div>
        ","0","html-button-response","162","472321","0.0-49.0-0.0","ha77v84840","","","","","","","16T","A male kangaroo is called a boomer.","true","sentence_ready","","","","",""
"3646","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A male kangaroo is called a boomer.</p>
          </div>
        ","null","html-audio-response","163","476043","0.0-49.0-1.0","ha77v84840","","","","","1","","16T","A male kangaroo is called a boomer.","true","sentence_recording","blob:https://charburnham.github.io/7a4d54ae-3ed2-4757-8b3c-a105e9d45399","1","ha77v84840_16T_audio.webm","",""
"1053","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A male kangaroo is called a boomer.</p>
              <audio controls src=""blob:https://charburnham.github.io/7a4d54ae-3ed2-4757-8b3c-a105e9d45399"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","164","477097","0.0-49.0-2.0","ha77v84840","","","","","","queued","16T","A male kangaroo is called a boomer.","true","sentence_review","","1","ha77v84840_16T_audio.webm","accepted","ha77v84840_16T_audio.webm"
"1782","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Fourteen U.S. presidents have been only children.</p>
          </div>
        ","0","html-button-response","165","478881","0.0-50.0-0.0","ha77v84840","","","","","","","10F","Fourteen U.S. presidents have been only children.","false","sentence_ready","","","","",""
"4614","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Fourteen U.S. presidents have been only children.</p>
          </div>
        ","null","html-audio-response","166","483554","0.0-50.0-1.0","ha77v84840","","","","","1","","10F","Fourteen U.S. presidents have been only children.","false","sentence_recording","blob:https://charburnham.github.io/4876b7eb-3326-4e1c-a69e-f29cb87f766f","1","ha77v84840_10F_audio.webm","",""
"838","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Fourteen U.S. presidents have been only children.</p>
              <audio controls src=""blob:https://charburnham.github.io/4876b7eb-3326-4e1c-a69e-f29cb87f766f"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","167","484393","0.0-50.0-2.0","ha77v84840","","","","","","queued","10F","Fourteen U.S. presidents have been only children.","false","sentence_review","","1","ha77v84840_10F_audio.webm","accepted","ha77v84840_10F_audio.webm"
"2926","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Coca Cola is only brown because of food coloring.</p>
          </div>
        ","0","html-button-response","168","487321","0.0-51.0-0.0","ha77v84840","","","","","","","F17T","Coca Cola is only brown because of food coloring.","true","sentence_ready","","","","",""
"5206","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Coca Cola is only brown because of food coloring.</p>
          </div>
        ","null","html-audio-response","169","492586","0.0-51.0-1.0","ha77v84840","","","","","1","","F17T","Coca Cola is only brown because of food coloring.","true","sentence_recording","blob:https://charburnham.github.io/09439b4a-9099-4f2d-b1e3-afffd312a5ac","1","ha77v84840_F17T_audio.webm","",""
"861","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Coca Cola is only brown because of food coloring.</p>
              <audio controls src=""blob:https://charburnham.github.io/09439b4a-9099-4f2d-b1e3-afffd312a5ac"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","170","493448","0.0-51.0-2.0","ha77v84840","","","","","","queued","F17T","Coca Cola is only brown because of food coloring.","true","sentence_review","","1","ha77v84840_F17T_audio.webm","accepted","ha77v84840_F17T_audio.webm"
"1830","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Only female mosquitoes bite.</p>
          </div>
        ","0","html-button-response","171","495280","0.0-52.0-0.0","ha77v84840","","","","","","","50T","Only female mosquitoes bite.","true","sentence_ready","","","","",""
"2220","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Only female mosquitoes bite.</p>
          </div>
        ","null","html-audio-response","172","497570","0.0-52.0-1.0","ha77v84840","","","","","12","","50T","Only female mosquitoes bite.","true","sentence_recording","blob:https://charburnham.github.io/865bbf95-8d79-4fd3-b421-21f376339e28","1","ha77v84840_50T_audio.webm","",""
"606","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Only female mosquitoes bite.</p>
              <audio controls src=""blob:https://charburnham.github.io/865bbf95-8d79-4fd3-b421-21f376339e28"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","173","498177","0.0-52.0-2.0","ha77v84840","","","","","","not_uploaded_rerecorded","50T","Only female mosquitoes bite.","true","sentence_review","","1","ha77v84840_50T_audio.webm","rerecord","null"
"735","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Only female mosquitoes bite.</p>
          </div>
        ","0","html-button-response","174","498912","0.0-52.1-0.1","ha77v84840","","","","","","","50T","Only female mosquitoes bite.","true","sentence_ready","","","","",""
"3305","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Only female mosquitoes bite.</p>
          </div>
        ","null","html-audio-response","175","502274","0.0-52.1-1.1","ha77v84840","","","","","1","","50T","Only female mosquitoes bite.","true","sentence_recording","blob:https://charburnham.github.io/cd0121d3-0c4c-49c0-af93-33a9128f0356","2","ha77v84840_50T_audio.webm","",""
"1526","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Only female mosquitoes bite.</p>
              <audio controls src=""blob:https://charburnham.github.io/cd0121d3-0c4c-49c0-af93-33a9128f0356"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","176","503801","0.0-52.1-2.1","ha77v84840","","","","","","queued","50T","Only female mosquitoes bite.","true","sentence_review","","2","ha77v84840_50T_audio.webm","accepted","ha77v84840_50T_audio.webm"
"2998","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">A honeybee can fly at 35 mph.</p>
          </div>
        ","0","html-button-response","177","506800","0.0-53.0-0.0","ha77v84840","","","","","","","5F","A honeybee can fly at 35 mph.","false","sentence_ready","","","","",""
"4740","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A honeybee can fly at 35 mph.</p>
          </div>
        ","null","html-audio-response","178","511610","0.0-53.0-1.0","ha77v84840","","","","","13","","5F","A honeybee can fly at 35 mph.","false","sentence_recording","blob:https://charburnham.github.io/b44946a0-8c59-4a78-a094-086e2bf57b95","1","ha77v84840_5F_audio.webm","",""
"950","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A honeybee can fly at 35 mph.</p>
              <audio controls src=""blob:https://charburnham.github.io/b44946a0-8c59-4a78-a094-086e2bf57b95"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","179","512560","0.0-53.0-2.0","ha77v84840","","","","","","queued","5F","A honeybee can fly at 35 mph.","false","sentence_review","","1","ha77v84840_5F_audio.webm","accepted","ha77v84840_5F_audio.webm"
"4086","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The jaguar is the only cat that cannot retract its claws.</p>
          </div>
        ","0","html-button-response","180","516648","0.0-54.0-0.0","ha77v84840","","","","","","","43F","The jaguar is the only cat that cannot retract its claws.","false","sentence_ready","","","","",""
"5766","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">The jaguar is the only cat that cannot retract its claws.</p>
          </div>
        ","null","html-audio-response","181","522474","0.0-54.0-1.0","ha77v84840","","","","","1","","43F","The jaguar is the only cat that cannot retract its claws.","false","sentence_recording","blob:https://charburnham.github.io/457f144d-7ded-42ff-a5a2-10cc9a0f94cb","1","ha77v84840_43F_audio.webm","",""
"1557","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">The jaguar is the only cat that cannot retract its claws.</p>
              <audio controls src=""blob:https://charburnham.github.io/457f144d-7ded-42ff-a5a2-10cc9a0f94cb"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","182","524032","0.0-54.0-2.0","ha77v84840","","","","","","queued","43F","The jaguar is the only cat that cannot retract its claws.","false","sentence_review","","1","ha77v84840_43F_audio.webm","accepted","ha77v84840_43F_audio.webm"
"1654","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">A honeybee can fly at 15 mph.</p>
          </div>
        ","0","html-button-response","183","525688","0.0-55.0-0.0","ha77v84840","","","","","","","5T","A honeybee can fly at 15 mph.","true","sentence_ready","","","","",""
"4686","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A honeybee can fly at 15 mph.</p>
          </div>
        ","null","html-audio-response","184","530433","0.0-55.0-1.0","ha77v84840","","","","","1","","5T","A honeybee can fly at 15 mph.","true","sentence_recording","blob:https://charburnham.github.io/a8988996-f941-499d-b606-7052e472cab2","1","ha77v84840_5T_audio.webm","",""
"910","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A honeybee can fly at 15 mph.</p>
              <audio controls src=""blob:https://charburnham.github.io/a8988996-f941-499d-b606-7052e472cab2"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","185","531344","0.0-55.0-2.0","ha77v84840","","","","","","queued","5T","A honeybee can fly at 15 mph.","true","sentence_review","","1","ha77v84840_5T_audio.webm","accepted","ha77v84840_5T_audio.webm"
"1974","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Jupiter's mass is approximately 317 times earth's.</p>
          </div>
        ","0","html-button-response","186","533320","0.0-56.0-0.0","ha77v84840","","","","","","","52T","Jupiter's mass is approximately 317 times earth's.","true","sentence_ready","","","","",""
"6561","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Jupiter's mass is approximately 317 times earth's.</p>
          </div>
        ","null","html-audio-response","187","539937","0.0-56.0-1.0","ha77v84840","","","","","1","","52T","Jupiter's mass is approximately 317 times earth's.","true","sentence_recording","blob:https://charburnham.github.io/0c5fa9f1-455d-4faa-8c38-0f0cf35d057a","1","ha77v84840_52T_audio.webm","",""
"1166","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Jupiter's mass is approximately 317 times earth's.</p>
              <audio controls src=""blob:https://charburnham.github.io/0c5fa9f1-455d-4faa-8c38-0f0cf35d057a"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","188","541104","0.0-56.0-2.0","ha77v84840","","","","","","queued","52T","Jupiter's mass is approximately 317 times earth's.","true","sentence_review","","1","ha77v84840_52T_audio.webm","accepted","ha77v84840_52T_audio.webm"
"1822","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Children tend to grow faster in the spring.</p>
          </div>
        ","0","html-button-response","189","542928","0.0-57.0-0.0","ha77v84840","","","","","","","F12T","Children tend to grow faster in the spring.","true","sentence_ready","","","","",""
"4136","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Children tend to grow faster in the spring.</p>
          </div>
        ","null","html-audio-response","190","547121","0.0-57.0-1.0","ha77v84840","","","","","1","","F12T","Children tend to grow faster in the spring.","true","sentence_recording","blob:https://charburnham.github.io/e381470e-d87d-4cd0-8230-df88bc572ba6","1","ha77v84840_F12T_audio.webm","",""
"870","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Children tend to grow faster in the spring.</p>
              <audio controls src=""blob:https://charburnham.github.io/e381470e-d87d-4cd0-8230-df88bc572ba6"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","191","547992","0.0-57.0-2.0","ha77v84840","","","","","","queued","F12T","Children tend to grow faster in the spring.","true","sentence_review","","1","ha77v84840_F12T_audio.webm","accepted","ha77v84840_F12T_audio.webm"
