"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"3986","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Before mercury, brandy was used to fill thermometers.</p>
          </div>
        ","null","html-audio-response","148","507262","0.0-46.1-1.1","6nhu1nbwba","","","","","9","","F6T","Before mercury, brandy was used to fill thermometers.","true","sentence_recording","blob:https://charburnham.github.io/40ce563d-7e9a-4517-bb2d-31a3b7f68918","2","6nhu1nbwba_F6T_audio.webm","",""
"4862","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Before mercury, brandy was used to fill thermometers.</p>
              <audio controls src=""blob:https://charburnham.github.io/40ce563d-7e9a-4517-bb2d-31a3b7f68918"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","149","512126","0.0-46.1-2.1","6nhu1nbwba","","","","","","queued","F6T","Before mercury, brandy was used to fill thermometers.","true","sentence_review","","2","6nhu1nbwba_F6T_audio.webm","accepted","6nhu1nbwba_F6T_audio.webm"
"887","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">A female kangaroo is called a boomer.</p>
          </div>
        ","0","html-button-response","150","513017","0.0-47.0-0.0","6nhu1nbwba","","","","","","","16F","A female kangaroo is called a boomer.","false","sentence_ready","","","","",""
"3919","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A female kangaroo is called a boomer.</p>
          </div>
        ","null","html-audio-response","151","517013","0.0-47.0-1.0","6nhu1nbwba","","","","","6","","16F","A female kangaroo is called a boomer.","false","sentence_recording","blob:https://charburnham.github.io/618965ee-f9fa-4d7a-a033-432ae72f4297","1","6nhu1nbwba_16F_audio.webm","",""
"802","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A female kangaroo is called a boomer.</p>
              <audio controls src=""blob:https://charburnham.github.io/618965ee-f9fa-4d7a-a033-432ae72f4297"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","152","517818","0.0-47.0-2.0","6nhu1nbwba","","","","","","queued","16F","A female kangaroo is called a boomer.","false","sentence_review","","1","6nhu1nbwba_16F_audio.webm","accepted","6nhu1nbwba_16F_audio.webm"
"1043","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">A shrimp's heart is located in its head.</p>
          </div>
        ","0","html-button-response","153","518864","0.0-48.0-0.0","6nhu1nbwba","","","","","","","51T","A shrimp's heart is located in its head.","true","sentence_ready","","","","",""
"3475","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A shrimp's heart is located in its head.</p>
          </div>
        ","null","html-audio-response","154","522413","0.0-48.0-1.0","6nhu1nbwba","","","","","6","","51T","A shrimp's heart is located in its head.","true","sentence_recording","blob:https://charburnham.github.io/dd2625a0-cdda-4ffb-9461-7cd8ace9d53e","1","6nhu1nbwba_51T_audio.webm","",""
"4700","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A shrimp's heart is located in its head.</p>
              <audio controls src=""blob:https://charburnham.github.io/dd2625a0-cdda-4ffb-9461-7cd8ace9d53e"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","155","527115","0.0-48.0-2.0","6nhu1nbwba","","","","","","queued","51T","A shrimp's heart is located in its head.","true","sentence_review","","1","6nhu1nbwba_51T_audio.webm","accepted","6nhu1nbwba_51T_audio.webm"
"936","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
          </div>
        ","0","html-button-response","156","528055","0.0-49.0-0.0","6nhu1nbwba","","","","","","","F19F","Men blink more frequently than do women.","false","sentence_ready","","","","",""
"4561","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
          </div>
        ","null","html-audio-response","157","532696","0.0-49.0-1.0","6nhu1nbwba","","","","","15","","F19F","Men blink more frequently than do women.","false","sentence_recording","blob:https://charburnham.github.io/5c81d454-900e-43d7-9691-c02c0e62d1a5","1","6nhu1nbwba_F19F_audio.webm","",""
"745","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
              <audio controls src=""blob:https://charburnham.github.io/5c81d454-900e-43d7-9691-c02c0e62d1a5"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","158","533444","0.0-49.0-2.0","6nhu1nbwba","","","","","","not_uploaded_rerecorded","F19F","Men blink more frequently than do women.","false","sentence_review","","1","6nhu1nbwba_F19F_audio.webm","rerecord","null"
"1216","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
          </div>
        ","0","html-button-response","159","534663","0.0-49.1-0.1","6nhu1nbwba","","","","","","","F19F","Men blink more frequently than do women.","false","sentence_ready","","","","",""
"4103","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
          </div>
        ","null","html-audio-response","160","538847","0.0-49.1-1.1","6nhu1nbwba","","","","","6","","F19F","Men blink more frequently than do women.","false","sentence_recording","blob:https://charburnham.github.io/5657bcf7-b0c4-4feb-b016-0d4693e72434","2","6nhu1nbwba_F19F_audio.webm","",""
"3583","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
              <audio controls src=""blob:https://charburnham.github.io/5657bcf7-b0c4-4feb-b016-0d4693e72434"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","161","542432","0.0-49.1-2.1","6nhu1nbwba","","","","","","not_uploaded_rerecorded","F19F","Men blink more frequently than do women.","false","sentence_review","","2","6nhu1nbwba_F19F_audio.webm","rerecord","null"
"922","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
          </div>
        ","0","html-button-response","162","543356","0.0-49.2-0.2","6nhu1nbwba","","","","","","","F19F","Men blink more frequently than do women.","false","sentence_ready","","","","",""
"3671","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
          </div>
        ","null","html-audio-response","163","547113","0.0-49.2-1.2","6nhu1nbwba","","","","","15","","F19F","Men blink more frequently than do women.","false","sentence_recording","blob:https://charburnham.github.io/66c32506-73cf-40a1-9b20-4176e0956b4c","3","6nhu1nbwba_F19F_audio.webm","",""
"624","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Men blink more frequently than do women.</p>
              <audio controls src=""blob:https://charburnham.github.io/66c32506-73cf-40a1-9b20-4176e0956b4c"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","164","547740","0.0-49.2-2.2","6nhu1nbwba","","","","","","queued","F19F","Men blink more frequently than do women.","false","sentence_review","","3","6nhu1nbwba_F19F_audio.webm","accepted","6nhu1nbwba_F19F_audio.webm"
"806","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">A crocodile cannot stick out its tongue.</p>
          </div>
        ","0","html-button-response","165","548549","0.0-50.0-0.0","6nhu1nbwba","","","","","","","F4F","A crocodile cannot stick out its tongue.","false","sentence_ready","","","","",""
"3590","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A crocodile cannot stick out its tongue.</p>
          </div>
        ","null","html-audio-response","166","552214","0.0-50.0-1.0","6nhu1nbwba","","","","","9","","F4F","A crocodile cannot stick out its tongue.","false","sentence_recording","blob:https://charburnham.github.io/27ef890f-470d-4b10-a9f3-1be723c3d332","1","6nhu1nbwba_F4F_audio.webm","",""
"781","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A crocodile cannot stick out its tongue.</p>
              <audio controls src=""blob:https://charburnham.github.io/27ef890f-470d-4b10-a9f3-1be723c3d332"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","167","552998","0.0-50.0-2.0","6nhu1nbwba","","","","","","queued","F4F","A crocodile cannot stick out its tongue.","false","sentence_review","","1","6nhu1nbwba_F4F_audio.webm","accepted","6nhu1nbwba_F4F_audio.webm"
"961","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Oregon's state birthday is on Valentine's Day.</p>
          </div>
        ","0","html-button-response","168","553963","0.0-51.0-0.0","6nhu1nbwba","","","","","","","31T","Oregon's state birthday is on Valentine's Day.","true","sentence_ready","","","","",""
"3669","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Oregon's state birthday is on Valentine's Day.</p>
          </div>
        ","null","html-audio-response","169","557714","0.0-51.0-1.0","6nhu1nbwba","","","","","6","","31T","Oregon's state birthday is on Valentine's Day.","true","sentence_recording","blob:https://charburnham.github.io/0e75c20c-98c6-4be9-b23c-df7da129b78c","1","6nhu1nbwba_31T_audio.webm","",""
"687","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Oregon's state birthday is on Valentine's Day.</p>
              <audio controls src=""blob:https://charburnham.github.io/0e75c20c-98c6-4be9-b23c-df7da129b78c"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","170","558404","0.0-51.0-2.0","6nhu1nbwba","","","","","","queued","31T","Oregon's state birthday is on Valentine's Day.","true","sentence_review","","1","6nhu1nbwba_31T_audio.webm","accepted","6nhu1nbwba_31T_audio.webm"
"1067","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Owls can see the color blue.</p>
          </div>
        ","0","html-button-response","171","559475","0.0-52.0-0.0","6nhu1nbwba","","","","","","","F13T","Owls can see the color blue.","true","sentence_ready","","","","",""
"3256","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Owls can see the color blue.</p>
          </div>
        ","null","html-audio-response","172","562813","0.0-52.0-1.0","6nhu1nbwba","","","","","13","","F13T","Owls can see the color blue.","true","sentence_recording","blob:https://charburnham.github.io/9a3181bd-c9ed-4db0-b2d1-065ef0adf6e7","1","6nhu1nbwba_F13T_audio.webm","",""
"665","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Owls can see the color blue.</p>
              <audio controls src=""blob:https://charburnham.github.io/9a3181bd-c9ed-4db0-b2d1-065ef0adf6e7"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","173","563482","0.0-52.0-2.0","6nhu1nbwba","","","","","","queued","F13T","Owls can see the color blue.","true","sentence_review","","1","6nhu1nbwba_F13T_audio.webm","accepted","6nhu1nbwba_F13T_audio.webm"
"1060","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">If you keep a goldfish in a dark room, it will eventually turn black.</p>
          </div>
        ","0","html-button-response","174","564545","0.0-53.0-0.0","6nhu1nbwba","","","","","","","13F","If you keep a goldfish in a dark room, it will eventually turn black.","false","sentence_ready","","","","",""
"5082","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">If you keep a goldfish in a dark room, it will eventually turn black.</p>
          </div>
        ","null","html-audio-response","175","569712","0.0-53.0-1.0","6nhu1nbwba","","","","","9","","13F","If you keep a goldfish in a dark room, it will eventually turn black.","false","sentence_recording","blob:https://charburnham.github.io/499aa85a-b272-4f6e-ad37-547a232ab859","1","6nhu1nbwba_13F_audio.webm","",""
"695","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">If you keep a goldfish in a dark room, it will eventually turn black.</p>
              <audio controls src=""blob:https://charburnham.github.io/499aa85a-b272-4f6e-ad37-547a232ab859"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","176","570409","0.0-53.0-2.0","6nhu1nbwba","","","","","","queued","13F","If you keep a goldfish in a dark room, it will eventually turn black.","false","sentence_review","","1","6nhu1nbwba_13F_audio.webm","accepted","6nhu1nbwba_13F_audio.webm"
"1435","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">An ostrich's eye is half the size of its brain.</p>
          </div>
        ","0","html-button-response","177","571848","0.0-54.0-0.0","6nhu1nbwba","","","","","","","38F","An ostrich's eye is half the size of its brain.","false","sentence_ready","","","","",""
"3859","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">An ostrich's eye is half the size of its brain.</p>
          </div>
        ","null","html-audio-response","178","575780","0.0-54.0-1.0","6nhu1nbwba","","","","","9","","38F","An ostrich's eye is half the size of its brain.","false","sentence_recording","blob:https://charburnham.github.io/eb700f60-ae88-4573-a431-64b7712ce698","1","6nhu1nbwba_38F_audio.webm","",""
"6280","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">An ostrich's eye is half the size of its brain.</p>
              <audio controls src=""blob:https://charburnham.github.io/eb700f60-ae88-4573-a431-64b7712ce698"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","179","582063","0.0-54.0-2.0","6nhu1nbwba","","","","","","queued","38F","An ostrich's eye is half the size of its brain.","false","sentence_review","","1","6nhu1nbwba_38F_audio.webm","accepted","6nhu1nbwba_38F_audio.webm"
"1132","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The state of Arizona does not observe daylight savings time.</p>
          </div>
        ","0","html-button-response","180","583198","0.0-55.0-0.0","6nhu1nbwba","","","","","","","F8T","The state of Arizona does not observe daylight savings time.","true","sentence_ready","","","","",""
"4947","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">The state of Arizona does not observe daylight savings time.</p>
          </div>
        ","null","html-audio-response","181","588214","0.0-55.0-1.0","6nhu1nbwba","","","","","10","","F8T","The state of Arizona does not observe daylight savings time.","true","sentence_recording","blob:https://charburnham.github.io/2b933eab-ae71-4f74-9723-02fb9ded5310","1","6nhu1nbwba_F8T_audio.webm","",""
"615","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">The state of Arizona does not observe daylight savings time.</p>
              <audio controls src=""blob:https://charburnham.github.io/2b933eab-ae71-4f74-9723-02fb9ded5310"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","182","588832","0.0-55.0-2.0","6nhu1nbwba","","","","","","queued","F8T","The state of Arizona does not observe daylight savings time.","true","sentence_review","","1","6nhu1nbwba_F8T_audio.webm","accepted","6nhu1nbwba_F8T_audio.webm"
"1444","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">In colonial times, only the elite classes ate lobster.</p>
          </div>
        ","0","html-button-response","183","590280","0.0-56.0-0.0","6nhu1nbwba","","","","","","","F11F","In colonial times, only the elite classes ate lobster.","false","sentence_ready","","","","",""
